id;nome;ativo
376;CENTRO UNIVERSITARIO ANHANGUERA DE SAO PAULO;1
377;FACULDADE DE EDUCACAO PADRE ANCHIETA;0
378;FACULDADE DE DIREITO PADRE ANCHIETA;0
379;FACULDADE DE CIENCIAS E LETRAS PADRE ANCHIETA;0
380;FACULDADE DE CIENCIAS ECONOMICAS CONTABEIS E DE ADM DE EMPRESAS PADRE ANCHIETA;0
381;FACULDADE DE PSICOLOGIA PADRE ANCHIETA;0
382;FACULDADE DE TECNOLOGIA PADRE ANCHIETA;0
383;UNIVERSIDADE DA AMAZONIA;1
384;UNIVERSIDADE EVANGELICA DE GOIAS;1
385;UNIVERSIDADE SALVADOR;1
386;CENTRO UNIVERSITARIO DE GOIAS;1
387;UNIVERSIDADE CATOLICA DOM BOSCO;1
388;FACULDADE DE CIENCIAS CONTABEIS E ATUARIAIS DA ALTA NOROESTE;0
389;FACULDADE DE CIENCIAS ADMINISTRATIVAS E CONTABEIS DE LINS;0
390;FACULDADE DE EDUCACAO FISICA DE LINS;0
391;FACULDADE DE TECNOLOGIA DA ALTA NOROESTE;0
395;FACULDADE DE CIENCIAS CONTABEIS DE LUCELIA;0
396;CENTRO UNIVERSITARIO RUY BARBOSA WYDEN;1
397;FACULDADE RUY BARBOSA DE TECNOLOGIA EM PROCESSAMENTO DE DADOS;0
398;UNIVERSIDADE TIRADENTES;1
399;ESCOLA DE ENGENHARIA DE AGRIMENSURA;0
400;FACULDADE DE DIREITO DE OLINDA;0
401;CENTRO DE ESTUDOS SUPERIORES BARROS MELO;0
402;CENTRO UNIVERSITARIO DE BRASILIA;1
403;UNIVERSIDADE CATOLICA DE BRASILIA;1
404;FACULDADES INTEGRADAS DA UPIS;1
405;FOCCA FACULDADE DE OLINDA;1
408;ESCOLA SUPERIOR DE RELACOES PUBLICAS;0
409;UNIVERSIDADE DE PERNAMBUCO;1
410;FACULDADE DE CIENCIAS HUMANAS ESUDA;1
413;FACULDADE PORTOALEGRENSE DE EDUCACAO CIENCIAS E LETRAS;0
414;FACULDADE PORTOALEGRENSE DE CIENCIAS CONTABEIS E ADMINISTR1S;0
415;FACULDADE DE CIENCIAS MEDICAS DA SANTA CASA SAO PAULO;1
416;FACULDADE DE SAO PAULO;1
417;UNIVERSIDADE CIDADE DE SAO PAULO;1
420;UNIVERSIDADE DE MARILIA;1
421;FACULDADE ESTADUAL DE CIENCIAS E LETRAS DE CAMPO MOURAO;0
423;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSOES;1
424;FACULDADE DE CIENCIAS CONTABEIS E ADMINISTR1S DE SANTA ROSA;0
425;FACULDADE DE EDUCACAO ARTISTICA DE SANTA ROSA;0
426;UNIVERSIDADE FRANCISCANA;1
428;FACULDADE DE CIENCIAS CONTABEIS E DE ADMINISTRACAO DE MARILIA;0
429;FACULDADE DE DIREITO DE MARILIA;0
430;CENTRO UNIVERSITARIO FILADELFIA;1
431;FACULDADE DE MEDICINA DE MARILIA;1
432;FACULDADE PARANAENSE;1
433;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE PALMAS;0
434;FACULDADE SANTA MARCELINA;1
435;FACULDADE SANTA MARCELINA MURIAE FASM;1
436;FACULDADE DE CIENCIAS DA SAUDE;0
437;UNIVERSIDADE PARANAENSE;1
438;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE ITUVERAVA;1
439;FACULDADE DOUTOR FRANCISCO MAEDA;1
440;FACULDADE DE DIREITO DE ITU;1
441;UNIVERSIDADE DO CONTESTADO;1
442;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE ITARARE;0
443;FACULDADE DE CIENCIAS CONTABEIS E ADMINISTR1S DE ITARARE;0
446;UNIVERSIDADE DE CRUZ ALTA;1
447;FACULDADE CATOLICA DE CIENCIAS ECONOMICAS DA BAHIA;0
448;CENTRO UNIVERSITARIO RITTER DOS REIS;1
449;UNIVERSIDADE LUTERANA DO BRASIL;1
450;CENTRO UNIVERSITARIO SAO LUCAS JIPARANA;1
451;CENTRO UNIVERSITARIO LUTERANO DE SANTAREM;1
452;CENTRO UNIVERSITARIO LUTERANO DE MANAUS;1
453;CENTRO UNIVERSITARIO LUTERANO DE PALMAS;1
