municipio;id;nome;cod_importacao
1720259;172025905;São Salvador do Tocantins;05
1720309;172030905;São Sebastião do Tocantins;05
1720499;172049905;São Valério;05
1720655;172065505;Silvanópolis;05
1720804;172080405;Sítio Novo do Tocantins;05
1720853;172085305;Sucupira;05
1720903;172090305;Taguatinga;05
1720937;172093705;Taipas do Tocantins;05
1720978;172097805;Talismã;05
1721000;172100005;Palmas;05
1721000;172100008;Buritirana;08
1721000;172100015;Taquaruçu;15
1721109;172110905;Tocantínia;05
1721208;172120805;Tocantinópolis;05
1721257;172125705;Tupirama;05
1721307;172130705;Tupiratins;05
1722081;172208105;Wanderlândia;05
1722107;172210705;Xambioá;05
2100055;210005505;Açailândia;05
2100105;210010505;Afonso Cunha;05
2100154;210015405;Água Doce do Maranhão;05
2100204;210020405;Alcântara;05
2100204;210020410;São João de Cortes;10
2100303;210030305;Aldeias Altas;05
2100402;210040205;Altamira do Maranhão;05
2100436;210043605;Alto Alegre do Maranhão;05
2100477;210047705;Alto Alegre do Pindaré;05
2100501;210050105;Alto Parnaíba;05
2100501;210050110;Curupá;10
2100550;210055005;Amapá do Maranhão;05
2100600;210060005;Amarante do Maranhão;05
2100709;210070905;Anajatuba;05
2100709;210070910;Porto das Gabarras;10
2100808;210080805;Anapurus;05
2100832;210083205;Apicum-Açu;05
2100873;210087305;Araguanã;05
2100907;210090705;Araioses;05
2100956;210095605;Arame;05
2101004;210100405;Arari;05
2101004;210100410;Bonfim do Arari;10
2101103;210110305;Axixá;05
2101202;210120205;Bacabal;05
2101251;210125105;Bacabeira;05
2101301;210130105;Bacuri;05
2101350;210135005;Bacurituba;05
2101400;210140005;Balsas;05
2101509;210150905;Barão de Grajaú;05
2101608;210160805;Barra do Corda;05
2101707;210170705;Barreirinhas;05
2101731;210173105;Belágua;05
2101772;210177205;Bela Vista do Maranhão;05
2101806;210180605;Benedito Leite;05
2101905;210190505;Bequimão;05
2101939;210193905;Bernardo do Mearim;05
2101970;210197005;Boa Vista do Gurupi;05
2102002;210200205;Bom Jardim;05
2102036;210203605;Bom Jesus das Selvas;05
2102077;210207705;Bom Lugar;05
2102101;210210105;Brejo;05
2102150;210215005;Brejo de Areia;05
2102200;210220005;Buriti;05
2102309;210230905;Buriti Bravo;05
2102309;210230910;Bacatuba;10
2102325;210232505;Buriticupu;05
2102358;210235805;Buritirana;05
2102374;210237405;Cachoeira Grande;05
2102408;210240805;Cajapió;05
2102507;210250705;Cajari;05
2102507;210250710;Boa Vista do Pindaré;10
2102556;210255605;Campestre do Maranhão;05
2102606;210260605;Cândido Mendes;05
2102606;210260610;Barão de Tromaí;10
2102606;210260615;Estandarte;15
2102705;210270505;Cantanhede;05
2102754;210275405;Capinzal do Norte;05
2102804;210280405;Carolina;05
2102903;210290305;Carutapera;05
2103000;210300005;Caxias;05
2103109;210310905;Cedral;05
2103125;210312505;Central do Maranhão;05
2103158;210315805;Centro do Guilherme;05
2103174;210317405;Centro Novo do Maranhão;05
2103208;210320805;Chapadinha;05
2103257;210325705;Cidelândia;05
2103307;210330705;Codó;05
2103307;210330710;Codozinho;10
2103307;210330715;São Raimundo de Codó;15
